key,English
resourceForgedTitaniumTMG,"Forged Titanium"
resourceForgedTitaniumTMGDesc,"The Titanium bars we made along the way. Used to craft Lost Arks and other oddities."

materialMerins_shapesTMG, "Forged Ragetainium"
materialMerins_shapesTMGDesc, "Stronk"
erinsShapesTMG:VariantHelper, "Forged Ragetanium Block"
erinsShapesTMG:VariantHelperDesc, "Stronk"

resourceForgedLeadTMG, "Forged Lead"
resourceForgedLeadTMGDesc, "Forged Lead, cause the tutorial said so"

drinkErinsRageTMG, "Erin's Rage"
drinkErinsRageTMGDesc, "Burns going in and out!"

perkRunFasterTMG, "Barry Allen's protegee"
perkRunFasterTMGDesc, "Sprint into Danger faster with this perk"

ammoShotgunShellIncendiaryTMG, "Flaming Shotgun Shells"
ammoShotgunShellIncendiaryTMGDesc, "Bring the heat with these incendiary shotgun rounds. Great for gaslighting zombies!"

ammo44MagnumFlamingTMG, "Flaming .44 ammo"
ammo44MagnumFlamingTMGDesc, "Bring the heat with these incendiary 44 rounds. Great for gaslighting zombies!"
